TaxId	Species	SubPhylum	Class	Order	Family	Genus
197161	Ischnura_elegans	Hexapoda	Insecta	Odonata	Coenagrionidae	Ischnura
27404	Daphnia_galeata	Crustacea	Branchiopoda	Diplostraca	Daphniidae	Daphnia
39272	Allacma_fusca	Hexapoda	Collembola	Symphypleona	Sminthuridae	Allacma
189513	Chrysoperla_carnea	Hexapoda	Insecta	Neuroptera	Chrysopidae	Chrysoperla
334625	Oppiella_nova	Chelicerata	Arachnida	Sarcoptiformes	Oppiidae	Oppiella
1979941	Medioppia_subpectinata	Chelicerata	Arachnida	Sarcoptiformes	Oppiidae	Medioppia
399045	Notodromas_monacha	Crustacea	Ostracoda	Podocopida	Cyprididae	Notodromas
163714	Cyprideis_torosa	Crustacea	Ostracoda	Podocopida	Cyprididae	Cyprideis
69355	Darwinula_stevensoni	Crustacea	Ostracoda	Podocopida	Darwinulidae	Darwinula
197152	Cloeon_dipterum	Hexapoda	Insecta	Ephemeroptera	Baetidae	Cloeon
51811	Cordylochernes_scorpioides	Chelicerata	Arachnida	Pseudoscorpiones	Chernetidae	Cordylochernes
6984	Diploptera_punctata	Hexapoda	Insecta	Blattodea	Blaberidae	Diploptera
614101	Dryococelus_australis	Hexapoda	Insecta	Phasmatodea	Phasmatidae	Dryococelus
439358	Megalurothrips_usitatus	Hexapoda	Insecta	Thysanoptera	Thripidae	Megalurothrips
6978	Periplaneta_americana	Hexapoda	Insecta	Blattodea	Blattidae	Periplaneta
7010	Schistocerca_gregaria	Hexapoda	Insecta	Orthoptera	Acrididae	Schistocerca
2023355	Schistocerca_serialis	Hexapoda	Insecta	Orthoptera	Acrididae	Schistocerca
274614	Schistocerca_cancellata	Hexapoda	Insecta	Orthoptera	Acrididae	Schistocerca
34620	Dermacentor_andersoni	Chelicerata	Arachnida	Ixodida	Ixodidae	Dermacentor
2874060	Halotydeus_destructor	Chelicerata	Arachnida	Trombidiformes	Penthaleidae	Halotydeus
120202	Daphnia_carinata	Crustacea	Branchiopoda	Diplostraca	Daphniidae	Daphnia
59818	Tyrophagus_putrescentiae	Chelicerata	Arachnida	Sarcoptiformes	Acaridae	Tyrophagus
40697	Blomia_tropicalis	Chelicerata	Arachnida	Sarcoptiformes	Echimyopodidae	Blomia
172846	Caerostris_extrusa	Chelicerata	Arachnida	Araneae	Araneidae	Caerostris
1538125	Caerostris_darwini	Chelicerata	Arachnida	Araneae	Araneidae	Caerostris
7009	Schistocerca_americana	Hexapoda	Insecta	Orthoptera	Acrididae	Schistocerca
274613	Schistocerca_piceifrons	Hexapoda	Insecta	Orthoptera	Acrididae	Schistocerca
35523	Daphnia_pulicaria	Crustacea	Branchiopoda	Diplostraca	Daphniidae	Daphnia
6728	Procambarus_clarkii	Crustacea	Malacostraca	Decapoda	Cambaridae	Procambarus
299642	Nephila_pilipes	Chelicerata	Arachnida	Araneae	Nephilidae	Nephila
2740835	Trichonephila_clavata	Chelicerata	Arachnida	Araneae	Nephilidae	Trichonephila
2747483	Trichonephila_inaurata	Chelicerata	Arachnida	Araneae	Nephilidae	Trichonephila
931172	Oedothorax_gibbosus	Chelicerata	Arachnida	Araneae	Linyphiidae	Oedothorax
139456	Penaeus_chinensis	Crustacea	Malacostraca	Decapoda	Penaeidae	Penaeus
6706	Homarus_americanus	Crustacea	Malacostraca	Decapoda	Nephropidae	Homarus
27405	Penaeus_japonicus	Crustacea	Malacostraca	Decapoda	Penaeidae	Penaeus
424472	Nymphon_striatum	Chelicerata	Pycnogonida	Pantopoda	Nymphonidae	Nymphon
41210	Chionoecetes_opilio	Crustacea	Malacostraca	Decapoda	Majidae	Chionoecetes
72036	Lepeophtheirus_salmonis	Crustacea	Hexanauplia	Siphonostomatoida	Caligidae	Lepeophtheirus
94029	Argiope_bruennichi	Chelicerata	Arachnida	Araneae	Araneidae	Argiope
6687	Penaeus_monodon	Crustacea	Malacostraca	Decapoda	Penaeidae	Penaeus
34615	Ixodes_persulcatus	Chelicerata	Arachnida	Ixodida	Ixodidae	Ixodes
36987	Coptotermes_formosanus	Hexapoda	Insecta	Blattodea	Rhinotermitidae	Coptotermes
44386	Haemaphysalis_longicornis	Chelicerata	Arachnida	Ixodida	Ixodidae	Haemaphysalis
543639	Dermacentor_silvarum	Chelicerata	Arachnida	Ixodida	Ixodidae	Dermacentor
6941	Rhipicephalus_microplus	Chelicerata	Arachnida	Ixodida	Ixodidae	Rhipicephalus
34632	Rhipicephalus_sanguineus	Chelicerata	Arachnida	Ixodida	Ixodidae	Rhipicephalus
182803	Araneus_ventricosus	Chelicerata	Arachnida	Araneae	Araneidae	Araneus
1820382	Daphnia_sinensis	Crustacea	Branchiopoda	Diplostraca	Daphniidae	Daphnia
161013	Thrips_palmi	Hexapoda	Insecta	Thysanoptera	Thripidae	Thrips
41117	Pollicipes_pollicipes	Crustacea	Thecostraca	Pollicipedomorpha	Pollicipedidae	Pollicipes
202533	Stegodyphus_dumicola	Chelicerata	Arachnida	Araneae	Eresidae	Stegodyphus
